category,title,price,city,year,mileage,fuel,engine,transmission,url
8 Seater,Toyota Land Cruiser  2019 ZX for Sale,"PKR 47,000,000",Lahore,2019,"17,000 km",Petrol,4600 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2019-for-sale-in-lahore-10003671
4 Door,Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,"PKR 3,650,000",Islamabad,2013,"138,000 km",Petrol,1800 cc,Automatic,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-islamabad-10039561
5 Seater,Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,"PKR 6,325,000",Peshawar,2021,"53,000 km",Petrol,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-peshawar-10040167
3 Door,Suzuki Jimny  2022 Turbo for Sale,"PKR 4,485,000",Islamabad,2022,"35,000 km",Petrol,658 cc,Automatic,https://www.pakwheels.com/used-cars/suzuki-jimny-2022-for-sale-in-islamabad-10024254
8 Seater,Toyota Land Cruiser  2019 ZX for Sale,Call for price,Lahore,2019,"43,000 km",Petrol,4600 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2019-for-sale-in-lahore-9820133
Diesel cars,Toyota Hilux  2012 D-4D Automatic for Sale8/10,"PKR 6,898,000",Karachi,2012,"179,566 km",Diesel,3000 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-hilux-2012-for-sale-in-karachi-9966866
Modified Cars,Suzuki Bolan  2010 VX (CNG) for Sale,"PKR 1,275,000",Islamabad,2010,"80,000 km",Petrol,800 cc,Manual,https://www.pakwheels.com/used-cars/suzuki-bolan-2010-for-sale-in-islamabad-9937143
Modified Cars,Toyota Rush  2007 G Limited for Sale,"PKR 4,250,000",Sialkot,2007,"50,000 km",Petrol,1500 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-rush-2007-for-sale-in-sialkot-10011675
2 Door,Hyundai Shehzore  2005 Pickup H-100 (With Deck and Side Wall) for Sale,"PKR 2,500,000",Lahore,2005,"100,000 km",Diesel,2600 cc,Manual,https://www.pakwheels.com/used-cars/hyundai-shehzore-2005-for-sale-in-lahore-10025042
Duplicate File,Suzuki Wagon R  2018 Hybrid FX for Sale,"PKR 3,250,000",Peshawar,2018,"72,000 km",Hybrid,660 cc,Automatic,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2018-for-sale-in-peshawar-9832104
4 Seater,Daihatsu Mira  2021 X SA lll for Sale,"PKR 3,550,000",Islamabad,2021,"30,000 km",Petrol,660 cc,Automatic,https://www.pakwheels.com/used-cars/daihatsu-mira-2021-for-sale-in-islamabad-9772155
5 Seater,Toyota Aqua  2018 G for Sale,"PKR 4,790,000",Lahore,2018,"83,000 km",Hybrid,1500 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-aqua-2018-for-sale-in-lahore-9851050
2 Seater,Daihatsu Copen  2017 Robe S for Sale,"PKR 3,875,000",Islamabad,2017,"30,500 km",Petrol,660 cc,Automatic,https://www.pakwheels.com/used-cars/daihatsu-copen-2017-for-sale-in-islamabad-9941545
5 Seater,Peugeot 2008  2023 Active for Sale,"PKR 5,715,000",Lahore,2023,"31,500 km",Petrol,1200 cc,Automatic,https://www.pakwheels.com/used-cars/peugeot-2008-2023-for-sale-in-lahore-10009199
Automatic cars,Nissan Dayz  2015 Bolero X for Sale,"PKR 2,250,000",Karachi,2015,"71,000 km",Petrol,660 cc,Automatic,https://www.pakwheels.com/used-cars/nissan-dayz-2015-for-sale-in-karachi-10040249
4 Door,Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,"PKR 6,225,000",Karachi,2021,"53,000 km",Petrol,1800 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-10038887
Jeep,Daihatsu Mira  2015 L SA for Sale,"PKR 2,275,000",Karachi,2015,"84,000 km",Petrol,660 cc,Automatic,https://www.pakwheels.com/used-cars/daihatsu-mira-2015-for-sale-in-karachi-10040333
Small cars,Daihatsu Mira  2021 X SA lll Small Car for Sale,"PKR 3,850,000",Karachi,2021,"3,109 km",Petrol,660 cc,Automatic,https://www.pakwheels.com/used-cars/daihatsu-mira-2021-for-sale-in-karachi-9425427
8 Seater,Toyota Prado 3rd (J120) Generation 2005 TZ 3.0D for Sale,"PKR 6,500,000",Bhalwal,2005,"151,000 km",Diesel,3000 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-prado-2005-for-sale-in-bhalwal-10021203
4 Seater,Suzuki Alto  2023 VXL AGS for Sale,"PKR 2,975,000",Lahore,2023,"23,000 km",Petrol,660 cc,Automatic,https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-lahore-10006772
Small cars,Suzuki Mehran  2012 VXR Small Car for Sale,"PKR 660,000",Faisalabad,2012,123 km,Petrol,800 cc,Manual,https://www.pakwheels.com/used-cars/suzuki-mehran-2012-for-sale-in-faisalabad-10040122
4 Seater,Suzuki Alto  2024 VXL AGS for Sale,"PKR 3,150,000",Islamabad,2024,"15,000 km",Petrol,660 cc,Automatic,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-islamabad-10037068
2 Seater,Suzuki Ravi  2017 Euro II for Sale,"PKR 1,380,000",Rawalpindi,2017,"87,000 km",Petrol,800 cc,Manual,https://www.pakwheels.com/used-cars/suzuki-ravi-2017-for-sale-in-rawalpindi-9925582
Imported cars,Toyota Hiace  2022  for Sale,Call for price,Karachi,2022,"61,000 km",Petrol,2700 cc,Automatic,https://www.pakwheels.com/used-cars/toyota-hiace-2022-for-sale-in-karachi-9606074
Cheap cars,Daihatsu Charade  1982 CX for Sale in Cheap Price,"PKR 290,000",Islamabad,1982,"100,000 km",Petrol,1000 cc,Manual,https://www.pakwheels.com/used-cars/daihatsu-charade-1982-for-sale-in-islamabad-10040107
